,Model,Window,Derivative,Preprocessing,variable,Accuracy
1439,CART,21,2,msc,split4_test_score,0.5125
1143,CART,11,2,msc,split3_test_score,0.6625
1151,CART,21,2,msc,split3_test_score,0.5125
1159,CART,9,0,raw,split4_test_score,0.675
1167,CART,11,0,raw,split4_test_score,0.6125
1175,CART,21,0,raw,split4_test_score,0.6
1183,CART,9,1,raw,split4_test_score,0.6375
1191,CART,11,1,raw,split4_test_score,0.625
1135,CART,9,2,msc,split3_test_score,0.5
1199,CART,21,1,raw,split4_test_score,0.65
1215,CART,11,2,raw,split4_test_score,0.5125
1223,CART,21,2,raw,split4_test_score,0.575
1231,CART,9,0,snv,split4_test_score,0.4875
1239,CART,11,0,snv,split4_test_score,0.6
1247,CART,21,0,snv,split4_test_score,0.55
1255,CART,9,1,snv,split4_test_score,0.5375
1263,CART,11,1,snv,split4_test_score,0.5625
1207,CART,9,2,raw,split4_test_score,0.5625
1271,CART,21,1,snv,split4_test_score,0.575
1127,CART,21,1,msc,split3_test_score,0.5
1111,CART,9,1,msc,split3_test_score,0.55
983,CART,21,1,snv,split3_test_score,0.5625
991,CART,9,2,snv,split3_test_score,0.5125
999,CART,11,2,snv,split3_test_score,0.7
1007,CART,21,2,snv,split3_test_score,0.5625
1015,CART,9,0,rnv,split3_test_score,0.5625
1023,CART,11,0,rnv,split3_test_score,0.5875
1031,CART,21,0,rnv,split3_test_score,0.5625
1119,CART,11,1,msc,split3_test_score,0.55
1039,CART,9,1,rnv,split3_test_score,0.6625
1055,CART,21,1,rnv,split3_test_score,0.5375
1063,CART,9,2,rnv,split3_test_score,0.6625
1071,CART,11,2,rnv,split3_test_score,0.5875
1079,CART,21,2,rnv,split3_test_score,0.5375
1087,CART,9,0,msc,split3_test_score,0.525
1095,CART,11,0,msc,split3_test_score,0.5375
1103,CART,21,0,msc,split3_test_score,0.575
1047,CART,11,1,rnv,split3_test_score,0.5875
975,CART,11,1,snv,split3_test_score,0.4125
1279,CART,9,2,snv,split4_test_score,0.65
1295,CART,21,2,snv,split4_test_score,0.625
1471,CART,9,1,raw,split5_test_score,0.625
1479,CART,11,1,raw,split5_test_score,0.7
1487,CART,21,1,raw,split5_test_score,0.5625
1495,CART,9,2,raw,split5_test_score,0.6375
1503,CART,11,2,raw,split5_test_score,0.625
1511,CART,21,2,raw,split5_test_score,0.55
1519,CART,9,0,snv,split5_test_score,0.6125
1463,CART,21,0,raw,split5_test_score,0.6375
1527,CART,11,0,snv,split5_test_score,0.4875
1543,CART,9,1,snv,split5_test_score,0.625
1551,CART,11,1,snv,split5_test_score,0.6
1559,CART,21,1,snv,split5_test_score,0.5875
1567,CART,9,2,snv,split5_test_score,0.6375
1575,CART,11,2,snv,split5_test_score,0.675
1583,CART,21,2,snv,split5_test_score,0.5625
1591,CART,9,0,rnv,split5_test_score,0.625
1535,CART,21,0,snv,split5_test_score,0.5625
1287,CART,11,2,snv,split4_test_score,0.525
1455,CART,11,0,raw,split5_test_score,0.5875
1431,CART,11,2,msc,split4_test_score,0.575
1303,CART,9,0,rnv,split4_test_score,0.5625
1311,CART,11,0,rnv,split4_test_score,0.5
1319,CART,21,0,rnv,split4_test_score,0.525
1327,CART,9,1,rnv,split4_test_score,0.675
1335,CART,11,1,rnv,split4_test_score,0.675
1343,CART,21,1,rnv,split4_test_score,0.575
1351,CART,9,2,rnv,split4_test_score,0.675
1447,CART,9,0,raw,split5_test_score,0.575
1359,CART,11,2,rnv,split4_test_score,0.675
1375,CART,9,0,msc,split4_test_score,0.45
1383,CART,11,0,msc,split4_test_score,0.4125
1391,CART,21,0,msc,split4_test_score,0.5
1399,CART,9,1,msc,split4_test_score,0.6875
